setting,env,algo,iqm_rank,iqm,iqm_ci_lo,iqm_ci_hi,iqm_ci_half,mean,median,opt_gap,n_seeds,seeds_present,missing_seeds,seed_status,n_sig_wins,sig_wins_over,n_sig_losses,sig_losses_to,cohen_d_vs_sail,cohen_d_vs_sail_size,poi_vs_sail,best_cohen_d_advantage,best_d_over_algo
offline,HalfCheetah-v2,SAIL,8,0.127,0.0,0.254,0.127,0.127,0.127,0.873,2,"[1, 5]","[2, 3, 4]","incomplete (n=2/5, missing [2, 3, 4])",0,,0,,0.0,—,0.5,-1.454,SAIL-QPREF
offline,HalfCheetah-v2,PAIL,6,0.5489,0.5476,0.5502,0.0013,0.5489,0.5489,0.4511,2,"[2, 3]","[1, 4, 5]","incomplete (n=2/5, missing [1, 4, 5])",0,,1,SAIL-PREF-D,3.322,very_large,1.0,3.322,SAIL
offline,HalfCheetah-v2,SAIL-PREF-D,1,0.9536,0.857,0.9942,0.0686,0.9365,0.9735,0.0635,5,"[1, 2, 3, 4, 5]",[],complete,1,SAIL-QPREF,1,PAIL,7.854,very_large,1.0,7.854,SAIL
offline,HalfCheetah-v2,SAIL-TAC-D,4,0.8082,0.7491,0.8723,0.0616,0.8099,0.8082,0.1901,3,"[1, 2, 5]","[3, 4]","incomplete (n=3/5, missing [3, 4])",0,,0,,5.925,very_large,1.0,5.925,SAIL
offline,HalfCheetah-v2,SAIL-QPREF,7,0.2795,0.2686,0.5538,0.1426,0.3454,0.2795,0.6546,4,"[1, 3, 4, 5]",[2],"incomplete (n=4/5, missing [2])",1,SAIL-PREF-D,2,PAIL-TAC-D;PAIL-QPREF,1.454,large,1.0,1.454,SAIL
offline,HalfCheetah-v2,PAIL-PREF-D,2,0.8422,0.8422,0.8422,0.0,0.8422,0.8422,0.1578,1,[2],"[1, 3, 4, 5]","incomplete (n=1/5, missing [1, 3, 4, 5])",0,,0,,,NA,1.0,NA,—
offline,HalfCheetah-v2,PAIL-TAC-D,3,0.84,0.8085,0.8715,0.0315,0.84,0.84,0.16,2,"[3, 5]","[1, 2, 4]","incomplete (n=2/5, missing [1, 2, 4])",0,,1,SAIL-QPREF,5.449,very_large,1.0,9.238,PAIL
offline,HalfCheetah-v2,PAIL-QPREF,5,0.7029,0.6033,0.8367,0.1167,0.7115,0.7029,0.2885,4,"[1, 2, 3, 5]",[4],"incomplete (n=4/5, missing [4])",0,,1,SAIL-QPREF,4.418,very_large,1.0,4.418,SAIL
online,HalfCheetah-v2,SAIL,7,0.7326,0.6853,0.7434,0.0291,0.7234,0.7326,0.2766,4,"[1, 2, 3, 5]",[4],"incomplete (n=4/5, missing [4])",0,,2,PAIL;PAIL-PREF-D,0.0,—,0.5,0.586,SAIL-QPREF
online,HalfCheetah-v2,PAIL,6,0.8241,0.8043,0.8388,0.0172,0.8224,0.8241,0.1776,3,"[2, 3, 5]","[1, 4]","incomplete (n=3/5, missing [1, 4])",0,,2,SAIL;PAIL-PREF-D,4.319,very_large,1.0,7.44,SAIL-QPREF
online,HalfCheetah-v2,SAIL-PREF-D,4,0.8809,0.2184,0.9249,0.3532,0.7143,0.8738,0.2857,5,"[1, 2, 3, 4, 5]",[],complete,0,,0,,-0.03,negligible,0.8,0.012,SAIL-QPREF
online,HalfCheetah-v2,SAIL-TAC-D,2,0.9238,0.8477,1.0,0.0762,0.9238,0.9238,0.0762,2,"[3, 5]","[1, 2, 4]","incomplete (n=2/5, missing [1, 2, 4])",0,,0,,3.432,very_large,1.0,3.432,SAIL
online,HalfCheetah-v2,SAIL-QPREF,8,0.71,0.7034,0.7166,0.0066,0.71,0.71,0.29,2,"[2, 3]","[1, 4, 5]","incomplete (n=2/5, missing [1, 4, 5])",0,,1,PAIL-PREF-D,-0.586,medium,0.25,-0.012,SAIL-PREF-D
online,HalfCheetah-v2,PAIL-PREF-D,3,0.901,0.8873,0.933,0.0229,0.9056,0.901,0.0944,4,"[1, 2, 3, 4]",[5],"incomplete (n=4/5, missing [5])",0,,3,SAIL;PAIL;SAIL-QPREF,7.656,very_large,1.0,10.253,SAIL-QPREF
online,HalfCheetah-v2,PAIL-TAC-D,1,0.9355,0.9355,0.9355,0.0,0.9355,0.9355,0.0645,1,[5],"[1, 2, 3, 4]","incomplete (n=1/5, missing [1, 2, 3, 4])",0,,0,,,NA,1.0,NA,—
online,HalfCheetah-v2,PAIL-QPREF,5,0.8243,0.8058,0.8428,0.0185,0.8243,0.8243,0.1757,2,"[3, 5]","[1, 2, 4]","incomplete (n=2/5, missing [1, 2, 4])",0,,0,,3.875,very_large,1.0,5.826,SAIL-QPREF
