setting,env,algo_a,algo_b,iqm_a,iqm_b,iqm_diff_a_minus_b,mean_a,mean_b,mean_diff_a_minus_b,std_a,std_b,n_seeds_a,n_seeds_b,welch_t,p_value_raw,p_value_holm,significant_holm005,cohen_d,cohen_d_size,poi_a_beats_b,interpretation
offline,HalfCheetah-v2,SAIL,PAIL,0.127,0.5489,-0.4219,0.6513,0.7963,-0.145,0.0617,0.0006,2,2,-3.3219,0.18611,1.0,False,-3.322,very_large,0.0,no significant difference
offline,HalfCheetah-v2,SAIL,SAIL-PREF-D,0.127,0.9536,-0.8266,0.6513,0.9294,-0.2781,0.0617,0.0248,2,5,-6.1773,0.08262,1.0,False,-7.854,very_large,0.0,no significant difference
offline,HalfCheetah-v2,SAIL,SAIL-TAC-D,0.127,0.8082,-0.6812,0.6513,0.8859,-0.2346,0.0617,0.0212,2,3,-5.1774,0.09672,1.0,False,-5.925,very_large,0.0,no significant difference
offline,HalfCheetah-v2,SAIL,SAIL-QPREF,0.127,0.2795,-0.1525,0.6513,0.7263,-0.075,0.0617,0.0478,2,4,-1.5082,0.29582,1.0,False,-1.454,large,0.0,no significant difference
offline,HalfCheetah-v2,SAIL,PAIL-PREF-D,0.127,0.8422,-0.7152,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
offline,HalfCheetah-v2,SAIL,PAIL-TAC-D,0.127,0.84,-0.713,0.6513,0.8963,-0.245,0.0617,0.0153,2,2,-5.4492,0.0963,1.0,False,-5.449,very_large,0.0,no significant difference
offline,HalfCheetah-v2,SAIL,PAIL-QPREF,0.127,0.7029,-0.5759,0.6513,0.8521,-0.2008,0.0617,0.0385,2,4,-4.2099,0.09187,1.0,False,-4.418,very_large,0.0,no significant difference
offline,HalfCheetah-v2,PAIL,SAIL-PREF-D,0.5489,0.9536,-0.4047,0.7963,0.9294,-0.1332,0.0006,0.0248,2,5,-11.9917,0.00027,0.00598,True,-6.0,very_large,0.0,"SAIL-PREF-D significantly better (p=0.0060, d_size=very_large)"
offline,HalfCheetah-v2,PAIL,SAIL-TAC-D,0.5489,0.8082,-0.2593,0.7963,0.8859,-0.0897,0.0006,0.0212,2,3,-7.3307,0.01797,0.34141,False,-5.186,very_large,0.0,no significant difference
offline,HalfCheetah-v2,PAIL,SAIL-QPREF,0.5489,0.2795,0.2694,0.7963,0.7263,0.0699,0.0006,0.0478,2,4,2.9275,0.06107,0.97708,False,1.69,large,0.75,no significant difference
offline,HalfCheetah-v2,PAIL,PAIL-PREF-D,0.5489,0.8422,-0.2933,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
offline,HalfCheetah-v2,PAIL,PAIL-TAC-D,0.5489,0.84,-0.2911,0.7963,0.8963,-0.1,0.0006,0.0153,2,2,-9.2377,0.06816,1.0,False,-9.238,very_large,0.0,no significant difference
offline,HalfCheetah-v2,PAIL,PAIL-QPREF,0.5489,0.7029,-0.154,0.7963,0.8521,-0.0559,0.0006,0.0385,2,4,-2.8979,0.06252,1.0,False,-1.674,large,0.0,no significant difference
offline,HalfCheetah-v2,SAIL-PREF-D,SAIL-TAC-D,0.9536,0.8082,0.1454,0.9294,0.8859,0.0435,0.0248,0.0212,5,3,2.6361,0.04648,0.46484,False,1.839,large,0.933,no significant difference
