test,statistic,p_value,significant,effect_size,effect_size_name,mean_diff,mean_a,std_a,mean_b,std_b,n_a,n_b,algo_a,algo_b,p_value_raw,p_value_corrected
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.14496066032102473,0.6513016551763362,0.06171080029919463,0.7962623154973609,0.0006417943589900996,2,2,SAIL,PAIL,0.3333333333333333,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.2781335593419221,0.6513016551763362,0.06171080029919463,0.9294352145182583,0.024811702921824157,2,5,SAIL,SAIL-PREF-D,0.09523809523809523,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.23461775144585784,0.6513016551763362,0.06171080029919463,0.885919406622194,0.0211690769771895,2,3,SAIL,SAIL-TAC-D,0.2,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.07502418173425851,0.6513016551763362,0.06171080029919463,0.7263258369105947,0.04776955255517299,2,4,SAIL,SAIL-QPREF,0.13333333333333333,1.0
mannwhitney,,,False,,none,,,,,,0,0,SAIL,PAIL-PREF-D,,
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.2449808534715856,0.6513016551763362,0.06171080029919463,0.8962825086479218,0.015298798120139952,2,2,SAIL,PAIL-TAC-D,0.3333333333333333,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.2008131980360126,0.6513016551763362,0.06171080029919463,0.8521148532123488,0.03853578088522022,2,4,SAIL,PAIL-QPREF,0.13333333333333333,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.13317289902089735,0.7962623154973609,0.0006417943589900996,0.9294352145182583,0.024811702921824157,2,5,PAIL,SAIL-PREF-D,0.09523809523809523,1.0
mannwhitney,0.0,0.8,False,1.0,rank_biserial_r,-0.08965709112483311,0.7962623154973609,0.0006417943589900996,0.885919406622194,0.0211690769771895,2,3,PAIL,SAIL-TAC-D,0.2,0.8
mannwhitney,6.0,1.0,False,-0.5,rank_biserial_r,0.06993647858676622,0.7962623154973609,0.0006417943589900996,0.7263258369105947,0.04776955255517299,2,4,PAIL,SAIL-QPREF,0.5333333333333333,1.0
mannwhitney,,,False,,none,,,,,,0,0,PAIL,PAIL-PREF-D,,
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.10002019315056088,0.7962623154973609,0.0006417943589900996,0.8962825086479218,0.015298798120139952,2,2,PAIL,PAIL-TAC-D,0.3333333333333333,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.05585253771498788,0.7962623154973609,0.0006417943589900996,0.8521148532123488,0.03853578088522022,2,4,PAIL,PAIL-QPREF,0.13333333333333333,1.0
mannwhitney,14.0,1.0,False,-0.8666666666666667,rank_biserial_r,0.04351580789606424,0.9294352145182583,0.024811702921824157,0.885919406622194,0.0211690769771895,5,3,SAIL-PREF-D,SAIL-TAC-D,0.07142857142857142,1.0
mannwhitney,20.0,0.4126984126984127,False,-1.0,rank_biserial_r,0.20310937760766357,0.9294352145182583,0.024811702921824157,0.7263258369105947,0.04776955255517299,5,4,SAIL-PREF-D,SAIL-QPREF,0.015873015873015872,0.4126984126984127
mannwhitney,,,False,,none,,,,,,0,0,SAIL-PREF-D,PAIL-PREF-D,,
mannwhitney,9.0,0.19047619047619047,False,-0.8,rank_biserial_r,0.033152705870336474,0.9294352145182583,0.024811702921824157,0.8962825086479218,0.015298798120139952,5,2,SAIL-PREF-D,PAIL-TAC-D,0.19047619047619047,0.19047619047619047
mannwhitney,19.0,0.15873015873015872,False,-0.8999999999999999,rank_biserial_r,0.07732036130590947,0.9294352145182583,0.024811702921824157,0.8521148532123488,0.03853578088522022,5,4,SAIL-PREF-D,PAIL-QPREF,0.031746031746031744,0.15873015873015872
mannwhitney,12.0,0.9714285714285714,False,-1.0,rank_biserial_r,0.15959356971159933,0.885919406622194,0.0211690769771895,0.7263258369105947,0.04776955255517299,3,4,SAIL-TAC-D,SAIL-QPREF,0.05714285714285714,0.9714285714285714
mannwhitney,,,False,,none,,,,,,0,0,SAIL-TAC-D,PAIL-PREF-D,,
mannwhitney,2.0,1.0,False,0.33333333333333337,rank_biserial_r,-0.010363102025727766,0.885919406622194,0.0211690769771895,0.8962825086479218,0.015298798120139952,3,2,SAIL-TAC-D,PAIL-TAC-D,0.8,1.0
mannwhitney,9.0,0.4,False,-0.5,rank_biserial_r,0.03380455340984523,0.885919406622194,0.0211690769771895,0.8521148532123488,0.03853578088522022,3,4,SAIL-TAC-D,PAIL-QPREF,0.4,0.4
mannwhitney,,,False,,none,,,,,,0,0,SAIL-QPREF,PAIL-PREF-D,,
mannwhitney,0.0,0.13333333333333333,False,1.0,rank_biserial_r,-0.1699566717373271,0.7263258369105947,0.04776955255517299,0.8962825086479218,0.015298798120139952,4,2,SAIL-QPREF,PAIL-TAC-D,0.13333333333333333,0.13333333333333333
mannwhitney,0.0,0.02857142857142857,True,1.0,rank_biserial_r,-0.1257890163017541,0.7263258369105947,0.04776955255517299,0.8521148532123488,0.03853578088522022,4,4,SAIL-QPREF,PAIL-QPREF,0.02857142857142857,0.02857142857142857
mannwhitney,,,False,,none,,,,,,0,0,PAIL-PREF-D,PAIL-TAC-D,,
mannwhitney,,,False,,none,,,,,,0,0,PAIL-PREF-D,PAIL-QPREF,,
mannwhitney,7.0,0.5333333333333333,False,-0.75,rank_biserial_r,0.044167655435572994,0.8962825086479218,0.015298798120139952,0.8521148532123488,0.03853578088522022,2,4,PAIL-TAC-D,PAIL-QPREF,0.26666666666666666,0.5333333333333333
