test,statistic,p_value,significant,effect_size,effect_size_name,mean_diff,mean_a,std_a,mean_b,std_b,n_a,n_b,algo_a,algo_b,p_value_raw,p_value_corrected
welch,-3.3218536298876473,1.0,False,-3.3218536298876473,cohen_d,-0.14496066032102473,0.6513016551763362,0.06171080029919463,0.7962623154973609,0.0006417943589900996,2,2,SAIL,PAIL,0.18610945131808146,1.0
welch,-6.177336879113933,1.0,False,-7.853806570209343,cohen_d,-0.2781335593419221,0.6513016551763362,0.06171080029919463,0.9294352145182583,0.024811702921824157,2,5,SAIL,SAIL-PREF-D,0.08262289716107256,1.0
welch,-5.177436475039628,1.0,False,-5.924689110236432,cohen_d,-0.23461775144585784,0.6513016551763362,0.06171080029919463,0.885919406622194,0.0211690769771895,2,3,SAIL,SAIL-TAC-D,0.096715958175096,1.0
welch,-1.5081665069664119,1.0,False,-1.4536995138734015,cohen_d,-0.07502418173425851,0.6513016551763362,0.06171080029919463,0.7263258369105947,0.04776955255517299,2,4,SAIL,SAIL-QPREF,0.2958157197384654,1.0
welch,,,False,,none,,,,,,0,0,SAIL,PAIL-PREF-D,,
welch,-5.4492176465910465,1.0,False,-5.4492176465910465,cohen_d,-0.2449808534715856,0.6513016551763362,0.06171080029919463,0.8962825086479218,0.015298798120139952,2,2,SAIL,PAIL-TAC-D,0.09629540276112608,1.0
welch,-4.209852724735051,1.0,False,-4.4182166674794034,cohen_d,-0.2008131980360126,0.6513016551763362,0.06171080029919463,0.8521148532123488,0.03853578088522022,2,4,SAIL,PAIL-QPREF,0.0918721976972345,1.0
welch,-11.991716820623623,0.0059830438440717825,True,-6.000369137566495,cohen_d,-0.13317289902089735,0.7962623154973609,0.0006417943589900996,0.9294352145182583,0.024811702921824157,2,5,PAIL,SAIL-PREF-D,0.0002719565383668992,0.0059830438440717825
welch,-7.33067841828016,0.34140697503227885,False,-5.1859530281081865,cohen_d,-0.08965709112483311,0.7962623154973609,0.0006417943589900996,0.885919406622194,0.0211690769771895,2,3,PAIL,SAIL-TAC-D,0.017968788159593622,0.34140697503227885
welch,2.9275492180036164,0.9770812197687573,False,1.6904755392896282,cohen_d,0.06993647858676622,0.7962623154973609,0.0006417943589900996,0.7263258369105947,0.04776955255517299,2,4,PAIL,SAIL-QPREF,0.06106757623554733,0.9770812197687573
welch,,,False,,none,,,,,,0,0,PAIL,PAIL-PREF-D,,
welch,-9.237693761781314,1.0,False,-9.237693761781314,cohen_d,-0.10002019315056088,0.7962623154973609,0.0006417943589900996,0.8962825086479218,0.015298798120139952,2,2,PAIL,PAIL-TAC-D,0.06815761526150807,1.0
welch,-2.8979328257882706,1.0,False,-1.6735089484501577,cohen_d,-0.05585253771498788,0.7962623154973609,0.0006417943589900996,0.8521148532123488,0.03853578088522022,2,4,PAIL,PAIL-QPREF,0.062523639541404,1.0
