test,statistic,p_value,significant,effect_size,effect_size_name,mean_diff,mean_a,std_a,mean_b,std_b,n_a,n_b,algo_a,algo_b,p_value_raw,p_value_corrected
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.10520197557032474,0.7031390360636685,0.02763042066745232,0.8083410116339932,0.018383064457143793,4,3,SAIL,PAIL,0.05714285714285714,1.0
mannwhitney,4.0,1.0,False,0.6,rank_biserial_r,0.00976368665870242,0.7031390360636685,0.02763042066745232,0.693375349404966,0.4256352585535291,4,5,SAIL,SAIL-PREF-D,0.19047619047619047,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.2130176523862436,0.7031390360636685,0.02763042066745232,0.916156688449912,0.11452313081114454,4,2,SAIL,SAIL-TAC-D,0.13333333333333333,1.0
mannwhitney,6.0,1.0,False,-0.5,rank_biserial_r,0.014310547962167575,0.7031390360636685,0.02763042066745232,0.6888284881015009,0.009912924155118718,4,2,SAIL,SAIL-QPREF,0.5333333333333333,1.0
mannwhitney,0.0,0.7999999999999999,False,1.0,rank_biserial_r,-0.1936116857605975,0.7031390360636685,0.02763042066745232,0.896750721824266,0.02270628076181859,4,4,SAIL,PAIL-PREF-D,0.02857142857142857,0.7999999999999999
mannwhitney,,,False,,none,,,,,,0,0,SAIL,PAIL-TAC-D,,
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.10721961114698142,0.7031390360636685,0.02763042066745232,0.8103586472106499,0.02778508611789276,4,2,SAIL,PAIL-QPREF,0.13333333333333333,1.0
mannwhitney,3.0,1.0,False,0.6,rank_biserial_r,0.11496566222902715,0.8083410116339932,0.018383064457143793,0.693375349404966,0.4256352585535291,3,5,PAIL,SAIL-PREF-D,0.25,1.0
mannwhitney,0.0,1.0,False,1.0,rank_biserial_r,-0.10781567681591886,0.8083410116339932,0.018383064457143793,0.916156688449912,0.11452313081114454,3,2,PAIL,SAIL-TAC-D,0.2,1.0
mannwhitney,6.0,1.0,False,-1.0,rank_biserial_r,0.11951252353249231,0.8083410116339932,0.018383064457143793,0.6888284881015009,0.009912924155118718,3,2,PAIL,SAIL-QPREF,0.2,1.0
mannwhitney,0.0,0.34285714285714286,False,1.0,rank_biserial_r,-0.08840971019027277,0.8083410116339932,0.018383064457143793,0.896750721824266,0.02270628076181859,3,4,PAIL,PAIL-PREF-D,0.05714285714285714,0.34285714285714286
mannwhitney,,,False,,none,,,,,,0,0,PAIL,PAIL-TAC-D,,
mannwhitney,2.0,1.0,False,0.33333333333333337,rank_biserial_r,-0.0020176355766566845,0.8083410116339932,0.018383064457143793,0.8103586472106499,0.02778508611789276,3,2,PAIL,PAIL-QPREF,0.8,1.0
mannwhitney,4.0,1.0,False,0.19999999999999996,rank_biserial_r,-0.22278133904494601,0.693375349404966,0.4256352585535291,0.916156688449912,0.11452313081114454,5,2,SAIL-PREF-D,SAIL-TAC-D,0.8571428571428571,1.0
mannwhitney,8.0,1.0,False,-0.6000000000000001,rank_biserial_r,0.004546861303465155,0.693375349404966,0.4256352585535291,0.6888284881015009,0.009912924155118718,5,2,SAIL-PREF-D,SAIL-QPREF,0.38095238095238093,1.0
mannwhitney,6.0,1.0,False,0.4,rank_biserial_r,-0.20337537241929993,0.693375349404966,0.4256352585535291,0.896750721824266,0.02270628076181859,5,4,SAIL-PREF-D,PAIL-PREF-D,0.4126984126984127,1.0
mannwhitney,,,False,,none,,,,,,0,0,SAIL-PREF-D,PAIL-TAC-D,,
mannwhitney,8.0,1.0,False,-0.6000000000000001,rank_biserial_r,-0.11698329780568384,0.693375349404966,0.4256352585535291,0.8103586472106499,0.02778508611789276,5,2,SAIL-PREF-D,PAIL-QPREF,0.38095238095238093,1.0
mannwhitney,4.0,1.0,False,-1.0,rank_biserial_r,0.22732820034841117,0.916156688449912,0.11452313081114454,0.6888284881015009,0.009912924155118718,2,2,SAIL-TAC-D,SAIL-QPREF,0.3333333333333333,1.0
mannwhitney,4.0,1.0,False,0.0,rank_biserial_r,0.019405966625646087,0.916156688449912,0.11452313081114454,0.896750721824266,0.02270628076181859,2,4,SAIL-TAC-D,PAIL-PREF-D,1.0,1.0
mannwhitney,,,False,,none,,,,,,0,0,SAIL-TAC-D,PAIL-TAC-D,,
mannwhitney,4.0,0.3333333333333333,False,-1.0,rank_biserial_r,0.10579804123926217,0.916156688449912,0.11452313081114454,0.8103586472106499,0.02778508611789276,2,2,SAIL-TAC-D,PAIL-QPREF,0.3333333333333333,0.3333333333333333
mannwhitney,0.0,0.13333333333333333,False,1.0,rank_biserial_r,-0.20792223372276508,0.6888284881015009,0.009912924155118718,0.896750721824266,0.02270628076181859,2,4,SAIL-QPREF,PAIL-PREF-D,0.13333333333333333,0.13333333333333333
mannwhitney,,,False,,none,,,,,,0,0,SAIL-QPREF,PAIL-TAC-D,,
mannwhitney,0.0,0.3333333333333333,False,1.0,rank_biserial_r,-0.121530159109149,0.6888284881015009,0.009912924155118718,0.8103586472106499,0.02778508611789276,2,2,SAIL-QPREF,PAIL-QPREF,0.3333333333333333,0.3333333333333333
mannwhitney,,,False,,none,,,,,,0,0,PAIL-PREF-D,PAIL-TAC-D,,
mannwhitney,8.0,0.13333333333333333,False,-1.0,rank_biserial_r,0.08639207461361609,0.896750721824266,0.02270628076181859,0.8103586472106499,0.02778508611789276,4,2,PAIL-PREF-D,PAIL-QPREF,0.13333333333333333,0.13333333333333333
mannwhitney,,,False,,none,,,,,,0,0,PAIL-TAC-D,PAIL-QPREF,,
