test,statistic,p_value,significant,effect_size,effect_size_name,mean_diff,mean_a,std_a,mean_b,std_b,n_a,n_b,algo_a,algo_b,env,p_value_raw,p_value_corrected
welch,-6.038658267175352,0.04720474591228565,True,-4.319257348779558,cohen_d,-0.10520197557032474,0.7031390360636685,0.02763042066745232,0.8083410116339932,0.018383064457143793,4,3,SAIL,PAIL,HalfCheetah-v2,0.001815567150472525,0.04720474591228565
welch,0.051158806484903806,1.0,False,0.030297726520162764,cohen_d,0.00976368665870242,0.7031390360636685,0.02763042066745232,0.693375349404966,0.4256352585535291,4,5,SAIL,SAIL-PREF-D,HalfCheetah-v2,0.961627480728725,1.0
welch,-2.593030728315842,1.0,False,-3.4324364448343734,cohen_d,-0.2130176523862436,0.7031390360636685,0.02763042066745232,0.916156688449912,0.11452313081114454,4,2,SAIL,SAIL-TAC-D,HalfCheetah-v2,0.22301983232294553,1.0
welch,0.9237552371944278,1.0,False,0.5856198272546741,cohen_d,0.014310547962167575,0.7031390360636685,0.02763042066745232,0.6888284881015009,0.009912924155118718,4,2,SAIL,SAIL-QPREF,HalfCheetah-v2,0.4084266400647181,1.0
welch,-10.827387667370024,0.0013116249184643499,True,-7.656119242132939,cohen_d,-0.1936116857605975,0.7031390360636685,0.02763042066745232,0.896750721824266,0.02270628076181859,4,4,SAIL,PAIL-PREF-D,HalfCheetah-v2,4.68437470880125e-05,0.0013116249184643499
welch,,,False,,none,,,,,,0,0,SAIL,PAIL-TAC-D,HalfCheetah-v2,,
welch,-4.464130983767921,0.39606917887711146,False,-3.875057277830956,cohen_d,-0.10721961114698142,0.7031390360636685,0.02763042066745232,0.8103586472106499,0.02778508611789276,4,2,SAIL,PAIL-QPREF,HalfCheetah-v2,0.04400768654190127,0.39606917887711146
welch,0.6030335916244355,1.0,False,0.33065397243856165,cohen_d,0.11496566222902715,0.8083410116339932,0.018383064457143793,0.693375349404966,0.4256352585535291,3,5,PAIL,SAIL-PREF-D,HalfCheetah-v2,0.5788193812890544,1.0
welch,-1.3200954740248416,1.0,False,-1.5901497427106286,cohen_d,-0.10781567681591886,0.8083410116339932,0.018383064457143793,0.916156688449912,0.11452313081114454,3,2,PAIL,SAIL-TAC-D,HalfCheetah-v2,0.40726093846450645,1.0
welch,9.396210134803301,0.06487810471475625,False,7.4398510134926195,cohen_d,0.11951252353249231,0.8083410116339932,0.018383064457143793,0.6888284881015009,0.009912924155118718,3,2,PAIL,SAIL-QPREF,HalfCheetah-v2,0.00259512418859025,0.06487810471475625
