algo,setting,env,seed,scalar_score,auc_score
PAIL,online,HalfCheetah-v2,2,0.8257554985861008,0.646573179677126
PAIL,online,HalfCheetah-v2,3,0.7891224032617111,0.6197750109835078
PAIL,online,HalfCheetah-v2,5,0.8101451330541676,0.6461986722658947
PAIL-PREF-D,online,HalfCheetah-v2,1,0.9259270768944249,0.7184361045910261
PAIL-PREF-D,online,HalfCheetah-v2,2,0.8772821688921049,0.7208809918093972
PAIL-PREF-D,online,HalfCheetah-v2,3,0.8802924983175718,0.7065925340605154
PAIL-PREF-D,online,HalfCheetah-v2,4,0.9035011431929624,0.6970769918777766
PAIL-QPREF,online,HalfCheetah-v2,3,0.7907116244008356,0.6457368546361656
PAIL-QPREF,online,HalfCheetah-v2,5,0.830005670020464,0.679037405178464
PAIL-TAC-D,online,HalfCheetah-v2,5,0.928553549068507,0.6985843919074984
SAIL,online,HalfCheetah-v2,1,0.724347175606455,0.49899554814160996
SAIL,online,HalfCheetah-v2,2,0.7114845470723995,0.6202032889793142
SAIL,online,HalfCheetah-v2,3,0.7141902824489662,0.5876013228887897
SAIL,online,HalfCheetah-v2,5,0.6625341391268529,0.5319831004992298
SAIL-PREF-D,online,HalfCheetah-v2,1,-0.06595166760671868,-0.06481516752821372
SAIL-PREF-D,online,HalfCheetah-v2,2,0.8433139843043216,0.6506630847626397
SAIL-PREF-D,online,HalfCheetah-v2,3,0.8629490712761821,0.6387403821806702
SAIL-PREF-D,online,HalfCheetah-v2,4,0.9213034483668904,0.6938350252623263
SAIL-PREF-D,online,HalfCheetah-v2,5,0.9052619106841546,0.7134734978796468
SAIL-QPREF,online,HalfCheetah-v2,2,0.6958379839929733,0.5861581213974102
SAIL-QPREF,online,HalfCheetah-v2,3,0.6818189922100285,0.6118378140466343
SAIL-TAC-D,online,HalfCheetah-v2,3,0.9971367708491864,0.7160880158476284
SAIL-TAC-D,online,HalfCheetah-v2,5,0.8351766060506377,0.660515865552044
