time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/disc_loss,train/learning_rate,train/surrogate_reward_std,train/surrogate_reward_mean,train/critic_loss
5222,-212.250591,0,1,1000.0,1000,,,,,,,
5195,-203.7386915,0,2,1000.0,2000,,,,,,,
5182,-228.838425,0,3,1000.0,3000,,,,,,,
5183,-224.45427949999998,0,4,1000.0,4000,,,,,,,
5171,-228.39627959999999,0,5,1000.0,5000,,,,,,,
5180,-251.09869883333332,1,6,1000.0,6000,,,,,,,
5166,-251.45762414285713,1,7,1000.0,7000,,,,,,,
5170,-252.024416375,1,8,1000.0,8000,,,,,,,
5173,-274.48492088888884,1,9,1000.0,9000,,,,,,,
5166,-274.2157303,1,10,1000.0,10000,,,,,,,
4479,-249.4431997272727,2,11,1000.0,11000,,,,,,,
1016,-278.2723659166666,11,12,1000.0,12000,-2.117139425843954,1000,8.070194864273072,0.001,0.017225067104781163,0.6685389084815979,0.04802190920338035
613,-302.5811122307692,21,13,1000.0,13000,-4.374153875350952,2000,4.405311179161072,0.001,0.025988306360813333,0.6776845190525055,0.07291061965748667
458,-323.48751921428567,30,14,1000.0,14000,-5.546411370277405,3000,2.308948838710785,0.001,0.028438446347986455,0.6408573343157768,0.11506506768241524
374,-334.6829551999999,40,15,1000.0,15000,-6.909164318084716,4000,2.0500009775161745,0.001,0.02157283709294015,0.5543395222127437,0.1142913020774722
322,-350.77209731249997,49,16,1000.0,16000,-8.872304699897766,5000,1.8366878628730774,0.001,0.013870891237013546,0.4711829133629799,0.12131116345524788
287,-364.8465686470588,59,17,1000.0,17000,-10.018140533447266,6000,1.4461129903793335,0.001,0.011523683279604785,0.407564790815115,0.072708730943501
261,-377.1514089444444,68,18,1000.0,18000,-10.659052576065063,7000,1.288825237751007,0.001,0.01114668197472326,0.3439517221748829,0.06343701191246509
242,-386.0806231052631,78,19,1000.0,19000,-11.149161098480224,8000,1.1358212113380433,0.001,0.010925676410847745,0.30069389879703523,0.056916270919144155
227,-396.18471819999996,87,20,1000.0,20000,-11.538192922592163,9000,0.970687872171402,0.001,0.01011574906821206,0.2715509027391672,0.051286002200096846
215,-405.3177821428571,97,21,1000.0,21000,-11.865234401702882,10000,0.8306000173091889,0.001,0.009881552633990251,0.24277318961918354,0.04553393661044538
206,-413.9314904090909,106,22,1000.0,22000,-12.061481510162354,11000,0.7178830981254578,0.001,0.009000319249536029,0.21681962606310845,0.040882729448378084
198,-422.35066169565215,116,23,1000.0,23000,-12.182468128204345,12000,0.6197405159473419,0.001,0.009103907898272232,0.19186544485390186,0.03854849995858967
191,-428.01612608333335,125,24,1000.0,24000,-12.1661685256958,13000,0.5369667828083038,0.001,0.00820592459910475,0.16953480711579322,0.03561065019108355
185,-435.01516932,135,25,1000.0,25000,-12.348023334503173,14000,0.47482719719409944,0.001,0.007823214148681411,0.1543031531125307,0.04252987765520811
179,-440.53118215384615,144,26,1000.0,26000,-13.195956649780273,15000,0.4172787398099899,0.001,0.007251381743515148,0.13585658791661262,0.0676070597358048
174,-446.56106555555556,154,27,1000.0,27000,-13.754273780822754,16000,0.36889936923980715,0.001,0.006908319615136784,0.12972224417328834,0.05900395157188177
169,-453.2405287142857,165,28,1000.0,28000,-13.681708782196045,17000,0.3402693778276443,0.001,0.007112121191563007,0.12388288564234971,0.044784478835761546
163,-459.0532404137931,177,29,1000.0,29000,-13.730612297058105,18000,0.3216505706310272,0.001,0.006485106908506019,0.11806540562957525,0.039847888570278885
155,-464.89779756666667,192,30,1000.0,30000,-13.882579898834228,19000,0.3030791670084,0.001,0.006271022906860499,0.10811627341806888,0.03756290907599032
147,-470.3625521290323,210,31,1000.0,31000,-13.89255445098877,20000,0.2740736424922943,0.001,0.005784658347103513,0.09932316245883703,0.034432172752916816
137,-510.237472875,233,32,1000.0,32000,-13.808735456466675,21000,0.25559572130441666,0.001,0.00498808814019705,0.08957792843133211,0.031169942986220122
129,-511.94043457575754,255,33,1000.0,33000,-13.923374059677124,22000,0.24378927201032638,0.001,0.004818780459490483,0.08207926741242409,0.05250054217875004
121,-556.9893824117647,280,34,1000.0,34000,-13.897727514266968,23000,0.22638841569423676,0.001,0.00460281640833358,0.07697011446207762,0.03857869777455926
115,-608.7900430857143,302,35,1000.0,35000,-13.791158212661744,24000,0.21718518137931825,0.001,0.0045236814848169694,0.07227050095424056,0.039448662089183927
110,-631.5077685,324,36,1000.0,36000,-13.649305351257324,25000,0.19846374690532684,0.001,0.004146114693238658,0.06772790778055787,0.03437234224379063
106,-647.1807635405405,348,37,1000.0,37000,-13.569719356536865,26000,0.1801309436559677,0.001,0.003962294348606363,0.06436331748962403,0.030622901232913138
102,-644.2906323421053,371,38,1000.0,38000,-13.429538837432862,27000,0.17901786863803865,0.001,0.003911108148125252,0.060050220366567375,0.027891221601516008
98,-633.9705319230769,396,39,1000.0,39000,-13.922681917190552,28000,0.16151879131793975,0.001,0.0041229745431958465,0.0577287592664361,0.06433006415143609
94,-621.30181935,421,40,1000.0,40000,-13.867253141403198,29000,0.17458460628986358,0.001,0.003966905975459711,0.05626161659881473,0.050687031712383035
91,-609.199919195122,448,41,1000.0,41000,-13.873255828857422,30000,0.177634659409523,0.001,0.004341501275313593,0.055663031447678805,0.045439908973872664
87,-597.5268722857143,477,42,1000.0,42000,-13.73663773727417,31000,0.18417571485042572,0.001,0.005573435337329275,0.055616486825048925,0.04556897987611592
84,-598.6329248604652,506,43,1000.0,43000,-13.637290828704835,32000,0.17768279910087587,0.001,0.006029846069108443,0.05459145874902606,0.04403143843263388
82,-610.3437735909091,536,44,1000.0,44000,-13.477945983886718,33000,0.1836617186665535,0.001,0.005323774978319465,0.051812956497073175,0.045083647809922696
79,-611.2672093333333,564,45,1000.0,45000,-13.288488552093506,34000,0.1777255579829216,0.001,0.005154785524426795,0.049807910714298485,0.04460635770112276
77,-603.3975861086957,593,46,1000.0,46000,-13.364762022018432,35000,0.16681136190891266,0.001,0.005076322380582202,0.04808237274736166,0.055067251410335305
