episode,timestep,mean_return,min_return,max_return,is_best,wall_time
100,100000,1490.1790,170.2909,2156.9342,1,2026-04-19 13:18:11
200,200000,2858.2951,2757.2893,2972.9561,1,2026-04-19 13:35:44
300,300000,3100.5275,3034.7747,3206.5285,1,2026-04-19 13:53:22
400,400000,2216.3200,283.3566,3327.3819,0,2026-04-19 14:11:23
500,500000,3137.7723,1841.1356,3367.9597,1,2026-04-19 14:29:41
600,600000,2835.5406,-6.3825,3509.5774,0,2026-04-19 14:48:21
700,700000,3155.6394,128.7672,3545.9985,1,2026-04-19 15:06:40
800,800000,-21.6708,-261.4650,310.6852,0,2026-04-19 15:25:06
900,900000,3545.2570,3467.3558,3589.7991,1,2026-04-19 15:43:34
1000,1000000,3652.5397,3597.9099,3714.1343,1,2026-04-19 16:01:22
1100,1100000,3727.8967,3644.7016,3825.6293,1,2026-04-19 16:19:08
1200,1200000,3654.0550,3563.1967,3711.3536,0,2026-04-19 16:36:53
1300,1300000,3796.9735,3717.9194,3867.6252,1,2026-04-19 16:54:46
1400,1400000,3766.5475,3669.2428,3884.9240,0,2026-04-19 17:13:10
1500,1500000,3492.7414,593.1695,3882.5231,0,2026-04-19 17:32:17
1600,1600000,2965.2712,1851.7295,3924.1789,0,2026-04-19 17:51:09
1700,1700000,3710.1313,2504.9260,3951.1888,0,2026-04-19 18:09:28
1800,1800000,3494.9952,1086.7860,4013.0038,0,2026-04-19 18:27:59
1900,1900000,3744.1268,3370.0535,3859.8235,0,2026-04-19 18:46:54
2000,2000000,3722.2587,2097.9859,4020.9813,0,2026-04-19 19:05:54
