episode,timestep,mean_return,min_return,max_return,is_best,wall_time
100,100000,2671.3678,2361.7410,2858.8983,1,2026-04-06 15:42:18
200,200000,3334.8154,1997.5223,3795.7241,1,2026-04-06 15:58:32
300,300000,5251.3247,5083.8494,5433.5050,1,2026-04-06 16:13:55
400,400000,6718.4667,534.1994,7634.0068,1,2026-04-06 16:29:46
500,500000,7838.1818,7725.5527,7918.7474,1,2026-04-06 16:45:32
600,600000,8330.2110,8248.7289,8417.7422,1,2026-04-06 17:01:22
700,700000,9001.5239,8801.8763,9175.5693,1,2026-04-06 17:17:05
800,800000,9151.3712,9026.1931,9242.7056,1,2026-04-06 17:32:43
900,900000,9262.0549,9040.0369,9396.9277,1,2026-04-06 17:48:35
1000,1000000,9094.1557,8934.8796,9315.7824,0,2026-04-06 18:04:17
1100,1100000,9366.3043,9220.8593,9459.5529,1,2026-04-06 18:20:18
1200,1200000,9626.1837,9542.4810,9713.4672,1,2026-04-06 18:36:20
1300,1300000,9738.0091,9613.3564,9851.4445,1,2026-04-06 18:52:46
1400,1400000,9958.3906,9700.5236,10144.9834,1,2026-04-06 19:09:27
1500,1500000,9861.5025,9636.1957,10020.5275,0,2026-04-06 19:26:27
1600,1600000,10651.1444,10515.7642,10733.1176,1,2026-04-06 19:43:42
1700,1700000,10962.0084,10847.8140,11062.6003,1,2026-04-06 20:00:24
1800,1800000,11272.1145,11139.2722,11359.3838,1,2026-04-06 20:17:18
1900,1900000,11365.9712,11220.6412,11458.1247,1,2026-04-06 20:34:38
2000,2000000,11625.3265,11443.5799,11773.9418,1,2026-04-06 20:52:50
