episode,timestep,mean_return,min_return,max_return,is_best,wall_time
100,100000,455.8716,382.4229,664.8409,1,2026-04-19 13:18:31
200,200000,820.0929,784.2274,862.1460,1,2026-04-19 13:36:21
300,300000,2562.8497,1822.2133,2748.4299,1,2026-04-19 13:54:24
400,400000,2150.1131,977.9181,3230.5840,0,2026-04-19 14:12:21
500,500000,2190.4050,1651.4461,3473.3188,0,2026-04-19 14:30:23
600,600000,1503.4410,989.7521,3415.0394,0,2026-04-19 14:48:24
700,700000,1973.5703,1292.0596,3191.4891,0,2026-04-19 15:06:28
800,800000,1875.1181,1137.9824,3464.5799,0,2026-04-19 15:24:33
900,900000,3061.3596,2207.9155,3400.8973,1,2026-04-19 15:42:46
1000,1000000,3394.8853,3018.7493,3501.0685,1,2026-04-19 16:01:01
1100,1100000,2316.6585,967.2196,3425.5993,0,2026-04-19 16:19:14
1200,1200000,3216.4897,2010.7003,3787.3313,0,2026-04-19 16:37:41
1300,1300000,2264.0586,1497.3247,2824.8281,0,2026-04-19 16:56:10
1400,1400000,2378.9512,1746.6603,3159.1326,0,2026-04-19 17:14:42
1500,1500000,2609.8718,2069.4546,3795.8912,0,2026-04-19 17:33:22
1600,1600000,2750.5581,1900.0782,3891.8859,0,2026-04-19 17:52:02
1700,1700000,1643.1988,1489.6361,2192.5167,0,2026-04-19 18:10:37
1800,1800000,1605.1736,1551.4551,1682.1205,0,2026-04-19 18:29:18
1900,1900000,3210.8113,921.6845,3809.0509,0,2026-04-19 18:48:00
2000,2000000,2485.5299,1582.0145,3924.8419,0,2026-04-19 19:06:43
