step,mean_return,min_return,max_return,success_rate,n_eval_episodes,is_best,wall_time
100000,4.0180,0.4523,8.8656,0.0000,20,0,2026-04-26 18:20:11
200000,2.0631,0.8008,5.4779,0.0000,20,0,2026-04-26 18:50:33
300000,3.9577,0.9820,6.1519,0.0000,20,0,2026-04-26 19:20:30
400000,4.2897,3.4047,4.9239,0.0000,20,0,2026-04-26 19:46:38
500000,4.1013,2.0695,6.0864,0.0000,20,0,2026-04-26 20:12:35
600000,4.2497,3.0777,6.2533,0.0000,20,0,2026-04-26 20:39:03
700000,5.0887,3.0912,7.8681,0.0000,20,0,2026-04-26 21:05:34
800000,5.4642,4.0189,9.6454,0.0000,20,0,2026-04-26 21:36:26
900000,5.9619,4.5720,9.7917,0.0000,20,0,2026-04-26 22:06:50
1000000,6.3440,4.4894,10.6157,0.0000,20,0,2026-04-26 22:36:28
1100000,7.1617,4.8966,11.3394,0.0000,20,0,2026-04-26 23:05:32
1200000,7.7287,4.9637,12.2903,0.0000,20,0,2026-04-26 23:37:05
1300000,12.6268,10.0807,15.5022,0.0000,20,0,2026-04-27 00:12:10
1400000,13.0705,8.5696,14.8997,0.0000,20,0,2026-04-27 00:42:03
1500000,16.7641,8.0768,20.5532,0.0000,20,0,2026-04-27 01:12:19
1600000,18.1570,16.8676,20.3388,0.0000,20,0,2026-04-27 01:44:11
1700000,17.2496,6.9377,20.8621,0.0000,20,0,2026-04-27 02:11:06
1800000,10.9648,4.5835,22.5453,0.0000,20,0,2026-04-27 02:44:28
1900000,16.8859,10.2362,19.0161,0.0000,20,0,2026-04-27 03:13:58
2000000,17.6207,11.5853,20.2310,0.0000,20,0,2026-04-27 03:42:50
2100000,18.6205,17.1759,20.4478,0.0000,20,0,2026-04-27 04:11:47
2200000,17.8785,16.4948,19.5953,0.0000,20,0,2026-04-27 04:42:56
2300000,15.3206,13.8412,16.7048,0.0000,20,0,2026-04-27 05:15:30
2400000,16.8800,14.3966,19.6307,0.0000,20,0,2026-04-27 05:43:32
2500000,13.4540,9.0294,16.3513,0.0000,20,0,2026-04-27 06:13:09
2600000,17.4798,15.2944,18.8094,0.0000,20,0,2026-04-27 06:42:47
2700000,16.7982,15.1825,17.6348,0.0000,20,0,2026-04-27 07:12:06
2800000,1.6258,1.2439,2.0589,0.0000,20,0,2026-04-27 07:41:48
2900000,17.3550,11.3208,19.4326,0.0000,20,0,2026-04-27 08:07:50
3000000,17.8277,10.2247,20.1396,0.0000,20,0,2026-04-27 08:35:23
