step,mean_return,min_return,max_return,success_rate,n_eval_episodes,is_best,wall_time
50000,1.7470,0.9848,5.1151,0.0000,20,0,2026-04-23 21:08:30
100000,3.2993,0.8555,11.1172,0.0000,20,0,2026-04-23 21:20:49
150000,5.2954,0.8495,21.4751,0.0000,20,0,2026-04-23 21:32:23
200000,1.6876,0.7784,3.2840,0.0000,20,0,2026-04-23 21:44:15
250000,2.0101,1.4096,5.1408,0.0000,20,0,2026-04-23 21:56:04
300000,2.4243,0.9984,5.8695,0.0000,20,0,2026-04-23 22:07:46
350000,1.9299,0.5320,7.8157,0.0000,20,0,2026-04-23 22:19:33
400000,1.9652,0.7513,4.3490,0.0000,20,0,2026-04-23 22:31:22
450000,2.0476,1.5549,2.6736,0.0000,20,0,2026-04-23 22:43:07
500000,2.5802,2.0174,3.6336,0.0000,20,0,2026-04-23 22:54:48
550000,2.4607,1.2682,3.2439,0.0000,20,0,2026-04-23 23:06:33
600000,2.0972,1.2287,3.3294,0.0000,20,0,2026-04-23 23:18:20
650000,2.5618,1.4885,3.4403,0.0000,20,0,2026-04-23 23:30:09
700000,3.6282,1.5184,5.1222,0.0000,20,0,2026-04-23 23:41:54
750000,2.2466,0.6773,3.7319,0.0000,20,0,2026-04-23 23:53:34
800000,3.4849,1.4263,11.4665,0.0000,20,0,2026-04-24 00:05:18
850000,2.9070,1.7209,5.0211,0.0000,20,0,2026-04-24 00:17:01
900000,4.3738,1.9288,12.8930,0.0000,20,0,2026-04-24 00:28:44
950000,3.6390,2.0323,9.0847,0.0000,20,0,2026-04-24 00:40:38
1000000,5.9382,0.9909,16.4452,0.0000,20,0,2026-04-24 00:52:49
