step,mean_return,min_return,max_return,success_rate,n_eval_episodes,is_best,wall_time
100000,102.8474,29.8232,439.0169,0.0500,20,1,2026-04-26 18:21:05
200000,106.3956,11.8596,1449.0045,0.1000,20,0,2026-04-26 18:47:07
300000,59.6682,3.0692,373.6580,0.1000,20,0,2026-04-26 19:12:46
400000,30.5950,5.9058,64.0213,0.0000,20,0,2026-04-26 19:38:31
500000,145.1513,6.1856,1504.6022,0.2500,20,1,2026-04-26 20:04:02
600000,32.6331,2.9770,338.4095,0.0500,20,0,2026-04-26 20:29:26
700000,15.9845,6.5809,91.2363,0.0000,20,0,2026-04-26 21:41:19
800000,238.2762,2.6198,1596.2057,0.1500,20,0,2026-04-26 22:08:09
900000,198.9666,4.9033,1368.1434,0.2500,20,0,2026-04-26 22:37:13
1000000,57.2644,5.9251,727.7618,0.1000,20,0,2026-04-26 23:05:29
1100000,25.7258,3.3016,297.4892,0.0500,20,0,2026-04-26 23:32:30
1200000,369.2196,4.9262,1500.4520,0.3000,20,0,2026-04-26 23:59:52
1300000,232.3196,5.4406,1459.5892,0.2500,20,0,2026-04-27 00:36:14
1400000,100.4738,4.3624,1293.7700,0.1000,20,0,2026-04-27 01:02:34
1500000,356.7663,3.8399,1544.9993,0.4000,20,0,2026-04-27 01:30:10
1600000,213.8009,7.3273,1561.5682,0.2000,20,0,2026-04-27 01:59:23
1700000,251.5554,6.2615,1391.6137,0.2000,20,0,2026-04-27 02:28:56
1800000,176.2097,7.0553,1301.3754,0.2000,20,0,2026-04-27 02:57:53
1900000,82.0914,4.2785,1455.8700,0.0500,20,0,2026-04-27 03:26:09
2000000,412.8761,6.0549,1517.9778,0.3000,20,0,2026-04-27 03:54:52
2100000,161.5550,7.5720,1521.0595,0.1000,20,0,2026-04-27 04:23:29
2200000,659.5549,2.3785,1465.2441,0.6000,20,1,2026-04-27 04:51:59
2300000,182.2022,6.0926,1342.7000,0.2500,20,0,2026-04-27 05:17:30
2400000,198.7162,3.6008,1588.2998,0.1500,20,0,2026-04-27 05:43:05
2500000,394.4912,8.0243,1638.4516,0.4000,20,0,2026-04-27 06:08:49
2600000,436.5722,9.1442,1645.4337,0.3000,20,0,2026-04-27 06:34:11
2700000,494.1558,8.1309,1602.6423,0.4000,20,0,2026-04-27 06:58:54
2800000,194.3763,3.4804,1441.4116,0.1500,20,0,2026-04-27 07:23:02
2900000,239.7538,7.5444,1659.9578,0.1500,20,0,2026-04-27 07:45:57
3000000,380.3107,3.0027,1648.4743,0.3000,20,0,2026-04-27 08:08:25
