step,mean_return,min_return,max_return,success_rate,n_eval_episodes,is_best,wall_time
50000,11.1814,5.0931,38.3044,0.0000,20,0,2026-04-23 21:08:47
100000,11.8218,4.6689,35.7463,0.0000,20,0,2026-04-23 21:22:28
150000,25.6594,6.4496,107.2737,0.1000,20,0,2026-04-23 21:36:11
200000,10.4946,2.4432,30.5743,0.0000,20,0,2026-04-23 21:49:48
250000,33.3397,8.8707,102.8606,0.0000,20,0,2026-04-23 22:01:59
300000,15.9366,2.8009,115.5729,0.0500,20,0,2026-04-23 22:14:17
350000,15.2371,2.5830,49.8219,0.0000,20,0,2026-04-23 22:26:39
400000,38.0192,2.4114,572.1189,0.0500,20,0,2026-04-23 22:39:30
450000,13.3234,5.0589,42.4534,0.0000,20,0,2026-04-23 22:52:06
500000,9.6779,2.3414,23.0499,0.0000,20,0,2026-04-23 23:04:38
550000,17.3062,3.5112,58.4407,0.0000,20,0,2026-04-23 23:17:09
600000,22.0887,2.5259,93.6026,0.0000,20,0,2026-04-23 23:29:19
650000,5.4197,2.3528,9.8358,0.0000,20,0,2026-04-23 23:41:22
700000,15.9920,2.1687,60.3331,0.0000,20,0,2026-04-23 23:54:15
750000,8.1432,3.6062,13.0316,0.0000,20,0,2026-04-24 00:07:55
800000,14.8422,2.6907,105.2364,0.0000,20,0,2026-04-24 00:21:33
850000,8.8688,4.8090,27.2965,0.0000,20,0,2026-04-24 00:35:10
900000,9.7024,4.4951,38.3748,0.0000,20,0,2026-04-24 00:48:47
950000,6.3813,2.1297,15.4359,0.0000,20,0,2026-04-24 01:02:26
1000000,7.5570,3.6404,16.6787,0.0000,20,0,2026-04-24 01:16:05
