step,mean_return,min_return,max_return,success_rate,n_eval_episodes,is_best,wall_time
50000,1733.7489,1145.8637,1885.0085,0.7500,20,0,2026-04-23 21:07:25
100000,1708.4099,1254.1637,1886.5418,0.9000,20,0,2026-04-23 21:18:51
150000,1838.1016,1721.7854,1887.1649,0.9500,20,0,2026-04-23 21:30:24
200000,1818.5664,1642.7534,1874.6071,0.9500,20,0,2026-04-23 21:41:50
250000,1846.1125,1786.3566,1881.8011,1.0000,20,0,2026-04-23 21:53:24
300000,1827.4685,1741.9256,1877.7159,0.8500,20,0,2026-04-23 22:05:01
350000,1834.3597,1793.6701,1877.0031,0.9000,20,0,2026-04-23 22:16:46
400000,1839.5382,1731.2544,1883.0712,0.9000,20,0,2026-04-23 22:28:32
450000,1823.8657,1704.0572,1889.1096,0.9500,20,0,2026-04-23 22:40:16
500000,1855.5527,1808.5640,1896.8577,0.9500,20,0,2026-04-23 22:52:08
550000,1841.0898,1794.8549,1883.0722,0.9500,20,0,2026-04-23 23:03:48
600000,1757.2417,1233.5309,1892.2612,0.7000,20,0,2026-04-23 23:15:33
650000,1840.4579,1764.1917,1886.4259,0.9500,20,0,2026-04-23 23:27:02
700000,1794.0999,1681.3503,1890.5955,0.7000,20,0,2026-04-23 23:38:47
750000,1786.3348,1713.2375,1872.1149,0.8000,20,0,2026-04-23 23:50:37
800000,1824.9536,1631.9315,1872.0015,1.0000,20,0,2026-04-24 00:02:42
850000,1803.4232,1740.3194,1882.1489,1.0000,20,0,2026-04-24 00:14:26
900000,1838.7972,1679.4731,1887.8163,0.8500,20,0,2026-04-24 00:26:16
950000,1845.4718,1679.3585,1890.3560,1.0000,20,0,2026-04-24 00:38:06
1000000,1834.5084,1654.7796,1892.0819,0.9000,20,0,2026-04-24 00:49:35
