episode,timestep,mean_return,min_return,max_return,is_best,wall_time
100,100000,-18.0186,-23.5608,-14.3343,1,2026-04-19 13:17:18
200,200000,-18.9933,-25.6763,-13.2616,0,2026-04-19 13:34:40
300,300000,-19.2033,-26.1167,-13.4531,0,2026-04-19 13:52:08
400,400000,-20.5581,-25.8239,-12.7660,0,2026-04-19 14:09:34
500,500000,-19.9064,-26.0618,-13.8781,0,2026-04-19 14:27:01
600,600000,-19.5659,-25.1885,-11.3959,0,2026-04-19 14:44:30
700,700000,-18.0207,-23.6557,-12.7272,0,2026-04-19 15:01:57
800,800000,-19.9512,-27.0226,-13.8574,0,2026-04-19 15:19:24
900,900000,-20.5742,-25.6158,-15.6852,0,2026-04-19 15:36:52
1000,1000000,-17.3927,-23.4251,-11.8955,1,2026-04-19 15:54:21
1100,1100000,-21.4854,-26.4408,-16.7980,0,2026-04-19 16:11:48
1200,1200000,-17.3067,-24.7140,-11.9125,1,2026-04-19 16:29:16
1300,1300000,-17.8739,-24.8454,-11.9490,0,2026-04-19 16:46:43
1400,1400000,-18.6848,-24.5150,-12.6213,0,2026-04-19 17:04:12
1500,1500000,-20.5511,-25.1582,-13.7477,0,2026-04-19 17:21:38
1600,1600000,-17.2934,-24.4154,-13.3323,1,2026-04-19 17:39:05
1700,1700000,-19.7830,-26.0241,-15.5426,0,2026-04-19 17:56:31
1800,1800000,-21.4845,-24.6453,-16.9087,0,2026-04-19 18:13:58
1900,1900000,-19.5722,-24.0674,-13.4383,0,2026-04-19 18:31:52
2000,2000000,-19.5678,-27.1127,-13.0309,0,2026-04-19 18:49:45
