episode,timestep,mean_return,min_return,max_return,is_best,wall_time
100,100000,25.0807,23.0199,26.1021,1,2026-04-25 18:36:24
200,200000,53.2116,48.5357,55.7180,1,2026-04-25 18:54:31
300,300000,57.5460,53.7712,59.8163,1,2026-04-25 19:12:51
400,400000,73.6157,71.6644,75.1473,1,2026-04-25 19:31:21
500,500000,76.4761,74.8723,77.6584,1,2026-04-25 19:50:00
600,600000,78.7500,77.2217,79.4232,1,2026-04-25 20:08:52
700,700000,79.3777,77.6237,80.4191,1,2026-04-25 20:28:08
800,800000,82.2221,80.6633,84.8576,1,2026-04-25 20:47:33
900,900000,84.6460,83.9997,85.2811,1,2026-04-25 21:07:08
1000,1000000,91.4182,90.6202,92.3210,1,2026-04-25 21:26:46
1100,1100000,91.4390,89.8945,93.2282,1,2026-04-25 21:46:58
1200,1200000,97.2136,94.7329,98.8457,1,2026-04-25 22:08:10
1300,1300000,116.5024,113.7480,118.7085,1,2026-04-25 22:29:23
1400,1400000,122.9293,119.5345,124.9589,1,2026-04-25 22:50:41
1500,1500000,127.8508,122.8163,129.4701,1,2026-04-25 23:12:17
1600,1600000,131.2839,128.6495,133.9874,1,2026-04-25 23:34:27
1700,1700000,135.4358,134.0909,137.9058,1,2026-04-25 23:56:01
1800,1800000,134.7797,133.3067,135.6242,0,2026-04-26 00:18:01
1900,1900000,133.8530,130.0755,136.3591,0,2026-04-26 00:40:06
2000,2000000,137.3304,132.8234,140.1495,1,2026-04-26 01:02:08
2100,2100000,142.4047,141.2803,144.1660,1,2026-04-26 01:23:16
2200,2200000,142.2262,141.2919,143.0452,0,2026-04-26 01:45:10
2300,2300000,143.9398,140.4268,145.1714,1,2026-04-26 02:06:58
2400,2400000,146.4262,144.9842,147.3616,1,2026-04-26 02:27:25
2500,2500000,143.9504,141.6809,145.5557,0,2026-04-26 02:48:27
2600,2600000,145.4148,144.3978,146.8176,0,2026-04-26 03:09:47
2700,2700000,146.2227,144.6446,147.0721,0,2026-04-26 03:31:33
2800,2800000,147.1020,145.3897,148.6903,1,2026-04-26 03:53:15
2900,2900000,145.9521,142.6581,147.7116,0,2026-04-26 04:14:58
3000,3000000,148.1723,146.3936,149.1821,1,2026-04-26 04:36:42
