episode,timestep,mean_return,min_return,max_return,is_best,wall_time
100,100000,2598.3100,1594.7349,2810.2235,1,2026-04-19 13:17:21
200,200000,3435.6415,3407.3001,3491.7374,1,2026-04-19 13:34:01
300,300000,3890.7009,3857.7896,3928.3767,1,2026-04-19 13:50:53
400,400000,4271.9693,4252.8723,4288.8514,1,2026-04-19 14:07:45
500,500000,4450.1290,4381.1634,4528.0107,1,2026-04-19 14:24:24
600,600000,4552.5619,4535.8990,4567.5912,1,2026-04-19 14:41:03
700,700000,4404.2645,933.6733,4820.6961,0,2026-04-19 14:57:41
800,800000,4370.8232,1173.7694,4750.0598,0,2026-04-19 15:14:13
900,900000,4346.5537,4316.8166,4375.8719,0,2026-04-19 15:31:11
1000,1000000,240.9356,198.5676,306.2262,0,2026-04-19 15:48:20
1100,1100000,4722.0796,4687.2204,4741.4533,1,2026-04-19 16:05:38
1200,1200000,4895.0232,4880.5911,4924.9549,1,2026-04-19 16:22:56
1300,1300000,4825.4114,4804.9552,4841.7057,0,2026-04-19 16:40:00
1400,1400000,4853.8786,4837.4514,4872.0180,0,2026-04-19 16:57:14
1500,1500000,4854.3531,4822.8964,4884.7622,0,2026-04-19 17:14:28
1600,1600000,4968.9977,4951.2475,4989.8250,1,2026-04-19 17:31:44
1700,1700000,4952.5410,4924.6984,4981.8481,0,2026-04-19 17:49:08
1800,1800000,4900.0476,4891.4025,4909.9393,0,2026-04-19 18:06:27
1900,1900000,4496.2258,277.0811,4997.2960,0,2026-04-19 18:23:52
2000,2000000,5111.4751,5069.9625,5147.2017,1,2026-04-19 18:41:25
